,airline_sentiment,nearest_city
317,negative,Capitán Bermúdez
318,positive,Cañada de Gómez
319,negative,Caleta Olivia
320,positive,Bell Ville
321,positive,Bella Vista
322,positive,Bahía Blanca
323,negative,Arroyo Seco
324,positive,Arroyito
325,positive,Añatuya
326,neutral,Alta Gracia
327,negative,Allen
328,negative,Alderetes
329,positive,Albardón
330,neutral,Aguilares
331,neutral,Villa Santa Rita
332,negative,Villa Mercedes
333,positive,San Carlos de Bariloche
334,negative,Adrogué
335,negative,Pago Pago
336,positive,Wolfsberg
337,neutral,Wiener Neustadt
338,negative,Vienna
339,positive,Wels
340,negative,Weinzierl bei Krems
341,negative,Villach
342,negative,Traun
343,negative,Traiskirchen
344,negative,Ternitz
345,neutral,Steyr
346,negative,Spittal an der Drau
347,negative,Schwechat
348,negative,Sankt Pölten
349,negative,Salzburg
350,neutral,Saalfelden am Steinernen Meer
351,negative,Mödling
352,negative,Lustenau
353,negative,Linz
354,negative,Leonding
355,negative,Leoben
356,negative,Kufstein
357,negative,Krems an der Donau
358,neutral,Klosterneuburg
359,negative,Klagenfurt am Wörthersee
360,neutral,Kapfenberg
361,negative,Innsbruck
362,positive,Hallein
363,neutral,Graz
364,negative,Feldkirch
365,positive,Dornbirn
366,positive,Bregenz
367,positive,Braunau am Inn
368,negative,Baden
369,negative,Amstetten
370,neutral,Ansfelden
371,negative,Whyalla
372,neutral,Rockingham
373,positive,Prospect
374,positive,Port Hedland
375,negative,Perth
376,negative,Murray Bridge
377,negative,Mount Isa
378,negative,Morphett Vale
379,negative,Mandurah
380,negative,Kwinana
381,neutral,Kalgoorlie
382,positive,Gosnells
383,negative,Geraldton
384,negative,Gawler
385,negative,Fremantle
386,negative,Darwin
387,neutral,Busselton
388,negative,Bunbury
389,neutral,Armadale
390,negative,Alice Springs
391,positive,Albany
392,negative,Adelaide
393,negative,Woodridge
394,positive,Wodonga
395,neutral,Werribee
396,neutral,Warrnambool
397,neutral,Wantirna South
398,negative,Wangaratta
399,negative,Wagga Wagga
400,negative,Traralgon
401,positive,Townsville
402,positive,Toowoomba
403,positive,Thornbury
404,negative,Thomastown
405,negative,Tarneit
406,negative,Taree
407,positive,Tamworth
408,positive,Sydney
409,negative,Surfers Paradise
410,neutral,Sunnybank
411,neutral,Sunbury
412,positive,Port Stephens
413,neutral,Springvale
414,positive,Southport
415,negative,South Grafton
416,negative,Shepparton
417,negative,Seaford
418,neutral,Saint Kilda
419,negative,Saint Albans
420,negative,Rowville
421,positive,Rockhampton
422,positive,Richmond
423,negative,Reservoir
424,negative,Queanbeyan
425,neutral,Quakers Hill
426,negative,Preston
427,negative,Port Macquarie
428,negative,Point Cook
429,negative,Pakenham South
430,negative,Orange
431,positive,Nowra
432,positive,Northcote
433,negative,Noble Park
434,positive,Newcastle
435,positive,Nerang
436,negative,Narre Warren
437,negative,Narangba
438,neutral,Mulgrave
439,neutral,Mount Martha
440,neutral,Mount Gambier
441,positive,Mount Eliza
442,neutral,Mosman
443,positive,Mornington
444,negative,Morayfield
445,neutral,Moe
446,neutral,Mill Park
447,neutral,Mildura
448,negative,Melton
449,positive,Melbourne
450,negative,Maryborough
451,negative,Marrickville
452,neutral,Maroubra
453,positive,Maitland
454,positive,Mackay
455,positive,Liverpool
456,positive,Lismore
457,neutral,Lilydale
458,negative,Launceston
459,neutral,Lara
460,negative,Langwarrin
461,negative,Lalor
462,neutral,Keysborough
463,negative,Kew
464,positive,Katoomba
465,neutral,Hornsby
466,negative,Hobart
467,negative,Hawthorn South
468,positive,Hampton Park
469,negative,Griffith
470,negative,Greensborough
471,neutral,Granville
472,negative,Goulburn
473,negative,Gold Coast
474,neutral,Glenroy
475,negative,Glenferrie
476,negative,Gladstone
477,negative,Geelong
478,neutral,Frankston East
479,negative,Frankston
480,negative,Forster
481,negative,Essendon
482,positive,Epping
483,negative,Epping
484,negative,Engadine
485,positive,Eltham
486,negative,Echuca
487,negative,Earlwood
488,positive,Dubbo
489,neutral,Doncaster East
490,positive,Doncaster
491,negative,Devonport
492,negative,Deer Park
493,neutral,Deception Bay
494,negative,Dandenong
495,positive,Cronulla
496,positive,Cranbourne
497,negative,Cranbourne
498,positive,Craigieburn
499,negative,Coffs Harbour
500,negative,Coburg
501,neutral,Clayton
502,negative,Wollongong
503,positive,Cessnock
504,neutral,Castle Hill
505,neutral,Carrum Downs
506,neutral,Carnegie
507,positive,Carlingford
508,negative,Caringbah
509,negative,Canberra
510,negative,Camberwell
511,negative,Caloundra
512,neutral,Cairns
513,neutral,Caboolture
514,positive,Burnie
515,neutral,Bundaberg
516,negative,Buderim
517,negative,Brunswick
518,negative,Broken Hill
519,negative,Brisbane
520,negative,Boronia
521,positive,Blacktown
522,negative,Berwick
523,negative,Bendigo
524,neutral,Baulkham Hills
525,negative,Bathurst
526,negative,Banora Point
527,positive,Bankstown
528,negative,Ballarat
529,negative,Auburn
530,negative,Ashfield
531,negative,Armidale
532,neutral,Albury
533,positive,South Brisbane
534,negative,Cheltenham
535,negative,Randwick
536,negative,Dee Why
537,negative,Umina
538,neutral,Palmerston
539,negative,Bracken Ridge
540,negative,North Ryde
541,negative,Hoppers Crossing
542,negative,Logan City
543,neutral,Carindale
544,negative,Paramatta
545,negative,Ferntree Gully
546,positive,City of Parramatta
547,positive,Adelaide Hills
548,positive,Canning Vale
549,positive,Glenmore Park
550,negative,Glen Iris
551,negative,Balwyn North
552,negative,Malvern East
553,negative,Brighton East
554,negative,Booval
555,neutral,St Albans
556,negative,Endeavour Hills
557,neutral,Taylors Lakes
558,neutral,Roxburgh Park
559,positive,Wyndham Vale
560,positive,Willetton
561,negative,Thornlie
562,positive,Hillside
563,negative,Bundoora
564,negative,Forest Lake
565,negative,Sunnybank Hills
566,positive,Narre Warren South
567,neutral,Dandenong North
568,neutral,Frankston South
569,negative,Sunshine West
570,negative,Altona Meadows
571,negative,West Pennant
572,negative,Oranjestad
573,negative,Mariehamn
574,negative,Xankandi
575,negative,Əhmədbəyli
576,negative,Shushi
577,neutral,Salyan
578,negative,Saatlı
579,negative,Neftçala
580,negative,Nakhchivan
581,negative,Lankaran
582,negative,Imishli
583,negative,Fizuli
584,negative,Dzhalilabad
585,negative,Pushkino
586,negative,Beylagan
587,negative,Astara
588,negative,Şirvan
589,negative,Ağdam
590,negative,Zaqatala
591,negative,Zabrat
592,negative,Yevlakh
593,negative,Yelenendorf
594,negative,Xaçmaz
595,negative,Ujar
596,neutral,Terter
597,negative,Sumqayıt
598,neutral,Qaraçuxur
599,negative,Shamkhor
600,negative,Shamakhi
601,negative,Sheki
602,negative,Sabunçu
603,negative,Sabirabad
604,negative,Qusar
605,negative,Quba
606,negative,Hacıqabul
607,negative,Qazax
608,negative,Hacı Zeynalabdin
609,negative,Mingelchaur
610,negative,Maştağa
611,negative,Mardakan
612,negative,Lökbatan
613,negative,Kyurdarmir
614,negative,Khirdalan
615,negative,Yeni Suraxanı
616,negative,Geoktschai
617,negative,Hövsan
618,negative,Ganja
619,negative,Divichibazar
620,negative,Buzovna
621,negative,Biny Selo
622,negative,Barda
623,negative,Bilajari
624,negative,Baku
625,negative,Amirdzhan
626,negative,Aghsu
627,positive,Ağdaş
628,negative,Agdzhabedy
629,negative,Bakıxanov
630,positive,Zenica
631,negative,Visoko
632,negative,Velika Kladuša
633,negative,Tuzla
634,negative,Trebinje
635,negative,Travnik
636,neutral,Sarajevo
637,negative,Prijedor
638,neutral,Mostar
639,negative,Gradačac
640,negative,Gračanica
641,negative,Goražde
642,negative,Doboj
643,negative,Cazin
644,negative,Bugojno
645,negative,Brčko
646,negative,Bosanska Krupa
647,negative,Bijeljina
648,negative,Bihać
649,negative,Banja Luka
650,neutral,Konjic
651,positive,Bridgetown
652,negative,Thākurgaon
653,negative,Teknāf
654,negative,Tungi
655,negative,Sylhet
656,positive,Dohār
657,neutral,Jamālpur
658,positive,Shibganj
659,negative,Shibganj
660,negative,Sātkhira
661,negative,Sirajganj
662,positive,Netrakona
663,positive,Narsingdi
664,negative,Sandwīp
665,negative,Shāhzādpur
666,negative,Rāmganj
667,positive,Rājshāhi
668,negative,Pirojpur
669,negative,Panchagarh
670,negative,Patiya
671,negative,Parbatipur
672,negative,Nārāyanganj
673,negative,Nālchiti
674,negative,Nāgarpur
675,negative,Nageswari
676,negative,Mymensingh
677,positive,Muktāgācha
678,negative,Mirzāpur
679,negative,Maulavi Bāzār
680,negative,Morrelgonj
681,negative,Mehendiganj
682,positive,Mathba
683,negative,Lalmanirhat
684,negative,Lākshām
685,positive,Comilla
686,negative,Rangpur
687,positive,Kushtia
688,neutral,Kālīganj
689,negative,Jhingergācha
690,negative,Joypur Hāt
691,negative,Ishurdi
692,negative,Habiganj
693,negative,Gaurnadi
694,negative,Gafargaon
695,positive,Feni
696,neutral,Rāipur
697,negative,Sarankhola
698,negative,Dhaka
699,negative,Chilmāri
700,negative,Chhāgalnāiya
701,negative,Lālmohan
702,neutral,Khagrachhari
703,negative,Chhātak
704,negative,Bhātpāra Abhaynagar
705,positive,Bherāmāra
706,negative,Bhairab Bāzār
707,negative,Bāndarban
708,neutral,Kālia
709,positive,Baniachang
710,negative,Bājitpur
711,negative,Bagerhat
712,negative,Badarganj
713,negative,Narail
714,neutral,Tungipāra
715,negative,Sonārgaon
716,negative,Sarishābāri
717,negative,Sakhipur
718,positive,Raojān
719,negative,Phultala
720,negative,Pālang
721,negative,Pār Naogaon
722,neutral,Nabīnagar
723,positive,Lakshmīpur
724,positive,Kesabpur
725,negative,Hājīganj
726,negative,Farīdpur
727,negative,Dinājpur
728,negative,Uttar Char Fasson
729,negative,Chittagong
730,negative,Char Bhadrāsan
731,negative,Bera
732,negative,Burhānuddin
733,negative,Sātkania
734,negative,Cox’s Bāzār
735,negative,Khulna
736,negative,Bhola
737,negative,Barisāl
738,negative,Jessore
739,negative,Pābna
740,negative,Tāngāil
741,negative,Bogra
742,negative,Pīrgaaj
743,negative,Nawābganj
744,positive,Mādārīpur
745,negative,Sherpur
746,negative,Kishorganj
747,neutral,Manikchari
748,positive,Bhāndāria
749,negative,Fatikchari
750,negative,Saidpur
751,negative,Puthia
752,negative,Natore
753,negative,Azimpur
754,neutral,Paltan
755,negative,Zwijndrecht
756,negative,Zwevegem
757,neutral,Zottegem
758,neutral,Zonhoven
759,negative,Zoersel
760,positive,Zemst
761,negative,Zele
762,negative,Zedelgem
763,negative,Zaventem
764,negative,Wuustwezel
765,negative,Willebroek
766,negative,Wevelgem
767,neutral,Wetteren
768,negative,Westerlo
769,negative,Wervik
770,negative,Wavre
771,negative,Waterloo
772,negative,Waregem
773,negative,Walcourt
774,negative,Visé
775,negative,Vilvoorde
776,negative,Verviers
777,negative,Turnhout
778,neutral,Tubize
779,negative,Tournai
780,negative,Torhout
781,negative,Tongeren
782,negative,Tienen
783,negative,Tielt
784,negative,Tessenderlo
785,negative,Tervuren
786,negative,Temse
787,negative,Stekene
788,negative,Stabroek
789,negative,Soumagne
790,negative,Soignies
791,negative,Sint-Truiden
792,negative,Sint-Pieters-Leeuw
793,negative,Sint-Niklaas
794,neutral,Sint-Kruis
795,negative,Sint-Katelijne-Waver
796,negative,Sint-Gillis-Waas
797,positive,Sint-Genesius-Rode
798,neutral,Seraing
799,negative,Schoten
800,neutral,Schilde
801,positive,Saint-Nicolas
802,negative,Saint-Ghislain
803,positive,Rotselaar
804,positive,Ronse
805,negative,Roeselare
806,negative,Rixensart
807,negative,Riemst
808,negative,Ranst
809,neutral,Quaregnon
810,negative,Puurs
811,negative,Putte
812,positive,Poperinge
813,negative,Pont-à-Celles
814,negative,Péruwelz
815,negative,Peer
816,neutral,Overijse
817,negative,Oupeye
818,positive,Oudenaarde
819,negative,Oostkamp
820,negative,Ostend
821,negative,Nivelles
822,negative,Ninove
823,positive,Nijlen
824,negative,Neerpelt
825,negative,Namur
826,negative,Mouscron
827,negative,Mortsel
828,negative,Morlanwelz-Mariemont
829,negative,Mons
830,negative,Mol
831,negative,Middelkerke
832,negative,Merelbeke
833,negative,Menen
834,positive,Meise
835,negative,Mechelen
836,negative,Marche-en-Famenne
837,positive,Manage
838,negative,Maldegem
839,negative,Maasmechelen
840,negative,Maaseik
841,positive,Louvain-la-Neuve
842,negative,Londerzeel
843,positive,Lommel
844,positive,Lokeren
845,negative,Lochristi
846,negative,Lille
847,negative,Lier
848,negative,Liège
849,negative,Leuven
850,negative,Lessines
851,negative,Lede
852,negative,Lebbeke
853,negative,Lanaken
854,positive,La Louvière
